authors,citations,documentType,publication,title,type,year,h-index,i10-index,total citations,department,total citations 
FK Alarfaj,1,PDF,PeerJ Computer Â,On solving textual ambiguities and semantic vagueness in MRC based question answering using generative pre-trained transformers,ARTICLE,2023.0,,,,Manegement Information Systems,
FK Alarfaj,0,,Artificial Intelligence in Medicine,iAFPs-Mv-BiTCN: Predicting antifungal peptides using self-attention transformer embedding and transform evolutionary based multi-view features with bidirectionalÂ Â,ARTICLE,2024.0,,,,Manegement Information Systems,
FK Alarfaj,3,HTML,Computational Â,Users' Rating Predictions Using Collaborating Filtering Based on Users and Items Similarity Measures,HTML,2022.0,,,,Manegement Information Systems,
FK Alarfaj,0,PDF,Heliyon,Compromise optimum allocation in neutrosophic multi-character survey under stratified random sampling using neutrosophic fuzzy programming,ARTICLE,2024.0,,,,Manegement Information Systems,
FK Alarfaj,0,PDF,Symmetry,Differential Evolution and Agglomerative-Clustering-Based Mutation Strategy for Complex Numerical Optimization Problems,ARTICLE,2023.0,,,,Manegement Information Systems,
FK Alarfaj,2,PDF,,Association rule analysis-based identification of influential users in the social media,ARTICLE,2022.0,,,,Manegement Information Systems,
FK Alarfaj,0,PDF,,Aspect-Based Sentiment Classification Using Deep Learning and Hybrid of Word Embedding and Contextual Position,ARTICLE,2023.0,,,,Manegement Information Systems,
FK Alarfaj,4,PDF,DIR,An Adaptive Window-Size Approach for Expert-Finding.,PDF,2013.0,,,,Manegement Information Systems,
FK Alarfaj,3,,International Journal of Â,Some Considerations on UML Class Diagram Formalisation Approaches,ARTICLE,2014.0,,,,Manegement Information Systems,
FK Alarfaj,0,PDF,,Research Article Users' Rating Predictions Using Collaborating Filtering Based on Users and Items Similarity Measures,PDF,2022.0,,,,Manegement Information Systems,
FK Alarfaj,0,PDF,,"XAI Framework for Cardiovascular Disease Prediction Using Classification Techniques. Electronics 2022, 11, 4086",PDF,2022.0,,,,Manegement Information Systems,
FK Alarfaj,0,PDF,,"A Feature-Based Approach for Sentiment Quantification Using Machine Learning. Electronics 2022, 11, 846",PDF,2022.0,,,,Manegement Information Systems,
FK Alarfaj,3,,Â in machine learning-based models for Â,JA o CM i E.(2023),CITATION,,,,,Manegement Information Systems,
FK Alarfaj,2,,,Credit card fraud detection using state-of-the-art machine learning and deep learning algorithms. IEEE Access 10: 39700Â39715,CITATION,2022.0,,,,Manegement Information Systems,
BJ Alsubaiei,23,,International Review of Financial Analysis,Oil price uncertainty and corporate cash holdings: Global evidence,ARTICLE,2022.0,4.0,1.0,44.0,Finance,
BJ Alsubaiei,1,,Vision,Does corporate cash holding level explain mutual fund flow? Global evidence,ARTICLE,2023.0,,,,Finance,
BJ Alsubaiei,4,,International Journal of Emerging Markets,Does family size matter to investors? Evidence from mutual fund flow in Saudi Arabia,ARTICLE,2023.0,,,,Finance,
BJ Alsubaiei,1,HTML,International Review of Economics & Â,How does oil market volatility impact mutual fund performance?,HTML,2024.0,,,,Finance,
BJ Alsubaiei,8,PDF,The European Journal of Â,How does mutual fund flow respond to oil market volatility?,ARTICLE,2024.0,,,,Finance,
BJ Alsubaiei,4,PDF,Journal of International Financial Markets Â,Sovereign CDS and mutual funds: Global evidence,ARTICLE,2021.0,,,,Finance,
BJ Alsubaiei,2,PDF,Scientific Journal of King Faisal University Â,Do Stock Market Risk Factors Explain Mutual Fund Returns? Evidence from Saudi Arabia.,PDF,2022.0,,,,Finance,
M Ech-Cherif,62,,2019 2nd international Â,Deep neural network based mobile dermoscopy application for triaging skin cancer detection,ARTICLE,2019.0,6.0,5.0,171.0,Manegement Information Systems,
M Ech-Cherif El Kettani,18,,Rendiconti del Circolo Â,Additive maps preserving operators of inner local spectral radius zero,ARTICLE,2014.0,,,,Manegement Information Systems,
M Ech-Cherif El Kettani,3,PDF,International Journal of Â,BDA-Enabler architecture based on cloud manufacturing: the case of chemical industry,ARTICLE,2022.0,,,,Manegement Information Systems,
M Ech-Cherif El Kettani,11,,Linear and Multilinear Â,Nonlinear commutant preservers,ARTICLE,2018.0,,,,Manegement Information Systems,
M Ech-Cherif El Kettani,6,,Linear and Multilinear Â,Nonlinear maps preserving the local spectral subspace,ARTICLE,2019.0,,,,Manegement Information Systems,
KM Al-Barrak,137,,,Irrigation interval and nitrogen level effects on growth and yield of canola (Brassica napus L.).,ARTICLE,2006.0,,,,Manegement Information Systems,
KM Al-Barrak?¢A?A¦,20,PDF,Sustainability,Water use efficiency and economic evaluation of the hydroponic versus conventional cultivation systems for green fodder production in Saudi Arabia,ARTICLE,2023.0,,,,Manegement Information Systems,
KM Al-Barrak?¢A?A¦,14,PDF,International Journal of ?¢A?A¦,"2-D electrical tomography for mapping of aquifers at the new campus of King Faisl University, Al Hassa, KSA",PDF,2011.0,,,,Manegement Information Systems,
KM Al-Barrak?¢A?A¦,0,PDF,Water,Assessment of Water Productivity and Economic Viability of Greenhouse-Grown Tomatoes under Soilless and Soil-Based Cultivations,ARTICLE,2024.0,,,,Manegement Information Systems,
KM Al-Barrak,9,,,Water use efficiency in wheat grown under drought conditions.,ARTICLE,2006.0,,,,Manegement Information Systems,
KM Al-Barrak?¢A?A¦,5,PDF,Third Symposium on ?¢A?A¦,Ion and water relations of date palm trees grown in Al-Hassa Coast of Arabian Gulf of Saudi Arabia,ARTICLE,1993.0,,,,Manegement Information Systems,
KM Al-Barrak?¢A?A¦,0,PDF,,Assessment of Water Productivity and Economics of the Greenhouse-Grown Tomatoes under Soilless and Soil-Based Cultivations,ARTICLE,2023.0,,,,Manegement Information Systems,
KM Al-Barrak?¢A?A¦,0,PDF,webagris.inra.org.ma,Partitionning of ions in date palm (Phoenix dactylifera L.) grown under saline condition,PDF,,,,,Manegement Information Systems,
KM Al-Barrak,10,,Zagazig Journal of ?¢A?A¦,,CITATION,2003.0,,,,Manegement Information Systems,
KM Al-Barrak,1,,J. King. Saud. Univ,Estimation of optimum field plot size and shape and number of replicates in sorghum yield trials,CITATION,2005.0,,,,Manegement Information Systems,
AA Aljughaiman,22,HTML,International review of Â,"The Covid-19 outbreak, corporate financial distress and earnings management",ARTICLE,2023.0,6.0,5.0,212.0,Finance,
AA Aljughaiman,61,PDF,Journal of Accounting and Public Policy,Do banks effectively manage their risks? The role of risk governance in the MENA region,ARTICLE,2019.0,,,,Finance,
AA Aljughaiman,40,PDF,Cogent Economics & Finance,Does financial technology matter? Evidence from an alternative banking system,ARTICLE,2021.0,,,,Finance,
AA Aljughaiman,55,PDF,Asian Pacific Journal Â,"Colon cancer among older Saudis: Awareness of risk factors and early signs, and perceived barriers to screening",ARTICLE,2016.0,,,,Finance,
AA Aljughaiman,47,HTML,International Review of Financial Â,"Fetching better deals from creditors: Board busyness, agency relationships and the bank cost of debt",HTML,2020.0,,,,Finance,
AA Aljughaiman,5,PDF,Sustainability,Exploring the interplay between sustainability and debt costs in an emerging market: does financial distress matter?,ARTICLE,2023.0,,,,Finance,
AA Aljughaiman,6,PDF,Sustainability,Corporate sustainability and financial performance: The moderating effect of CEO characteristics,ARTICLE,2023.0,,,,Finance,
AA Aljughaiman,10,,Journal of Sustainable Â,The impact of greenhouse gas emission on corporate's tail risk,ARTICLE,2024.0,,,,Finance,
AA Aljughaiman,4,PDF,Cogent Economics & Â,"Cost of equity, debt financing policy, and the role of female directors",ARTICLE,2022.0,,,,Finance,
AA Aljughaiman,0,HTML,Energy Strategy Â,How do inflation rate and energy alternatives influence environmental quality? A BRICS analysis,HTML,2024.0,,,,Finance,
AA Aljughaiman,3,PDF,Sustainability,Do Investor Overconfidence and Loss Aversion Drive Saudi Firm Market Performance? The Moderating Effect of Corporate Governance,ARTICLE,2022.0,,,,Finance,
AA Aljughaiman,0,HTML,Pacific-Basin Finance Â,Does gender diversity affect financial strength differently in conventional and Islamic banks? Evidence from MENA countries,HTML,2023.0,,,,Finance,
AA Aljughaiman,2,PDF,Eurasian Business Â,Twitter carbon information and cost of equity: the moderating role of environmental performance,ARTICLE,2023.0,,,,Finance,
AS Messai,863,PDF,?¢A?A¦ journal of economics and financial issues,Micro and macro determinants of non-performing loans,ARTICLE,2013.0,,,,Finance,
AS Messai,47,PDF,International business ?¢A?A¦,Determinants of bank profitability in Western European Countries evidence from system GMM estimates,PDF,2015.0,,,,Finance,
AS Messai,42,PDF,Asian Social Science,Financial leading indicators of banking distress: A micro prudential approach-Evidence from Europe,PDF,2015.0,,,,Finance,
AS Messai,22,PDF,International Journal of Monetary ?¢A?A¦,Macroeconomic determinants of credit risk: A P-VAR approach evidence from Europe,ARTICLE,2019.0,,,,Finance,
AS Messai,4,PDF,Sustainability,On the Determinants of Bitcoin Returns and Volatility: What We Get from Gets?,ARTICLE,2023.0,,,,Finance,
AS Messai,12,PDF,Journal of Economic & Social Studies ?¢A?A¦,Predicting Banking Distress in European Countries.,PDF,2013.0,,,,Finance,
AS Messai,7,,International Journal of Critical ?¢A?A¦,Corporate social responsibility and the corporate financial performance: the moderator role of firm size,ARTICLE,2020.0,,,,Finance,
AS Messai,2,,International Journal of ?¢A?A¦,The relationship between bitcoin and energy commodities: AutoRegressive distributed lag approach,ARTICLE,2022.0,,,,Finance,
AS Messai,3,,International Journal of Management ?¢A?A¦,Credit risk stress testing: theory and practice of the Spanish evidence,ARTICLE,2018.0,,,,Finance,
AS Messai,0,,International Journal of ?¢A?A¦,Interaction between commodity market and cryptocurrencies,ARTICLE,2022.0,,,,Finance,
AS Messai,15,PDF,La Revue Gestion et Organisation,Les d??A©terminants de pr??A?ts non performants,ARTICLE,2013.0,,,,Finance,
M Alyahya,41,HTML,Journal of Retailing and Â,A sustainable step forward: Understanding factors affecting customers' behaviour to purchase remanufactured products,HTML,2023.0,14.0,20.0,,Manegement,602.0
M Alyahya,100,PDF,Journal of Travel Research,Examining tourism consumers' attitudes and the role of sensory information in virtual reality experiences of a tourist destination,ARTICLE,2022.0,,,,Manegement,
M Alyahya,46,,Clinical neurology and Â,Takotsubo cardiomyopathy in aneurysmal subarachnoid hemorrhage: Institutional experience and literature review,ARTICLE,2016.0,,,,Manegement,
M Alyahya,29,HTML,Journal of Retailing and Â,A cross-cultural investigation of the relationship between eco-innovation and customers boycott behaviour,HTML,2023.0,,,,Manegement,
MM Alyahya,123,HTML,International journal of Â,Subacute thyroiditis: clinical presentation and long term outcome,HTML,2014.0,,,,Manegement,
MM Alyahya,111,PDF,Medical Â,What determines the selection of undergraduate medical students to the specialty of their future careers?,ARTICLE,2013.0,,,,Manegement,
M Alyahya,9,HTML,Journal of Retailing and Â,Understanding the factors affecting consumers' behaviour when purchasing refurbished products: A chaordic perspective,HTML,2023.0,,,,Manegement,
M Alyahya,27,PDF,Sustainability,"The antecedents of hotels' green creativity: the role of green HRM, environmentally specific servant leadership, and psychological green climate",ARTICLE,2023.0,,,,Manegement,
M Alyahya,52,PDF,Sustainability,The impact of religiosity and food consumption culture on food waste intention in Saudi Arabia,ARTICLE,2021.0,,,,Manegement,
M Alyahya,26,,Â in Education and Â,Exploring business graduates employability skills and teaching/learning techniques,ARTICLE,2023.0,,,,Manegement,
M Alyahya,57,PDF,BMJ open,"Incidence of adverse drug events in public and private hospitals in Riyadh, Saudi Arabia: the (ADESA) prospective cohort study",ARTICLE,2016.0,,,,Manegement,
M Alyahya,10,PDF,Sustainability,"Exploring the link between sustainable development practices, institutional pressures, and green innovation",ARTICLE,2022.0,,,,Manegement,
M Alyahya,14,PDF,Journal of Drug Delivery Â,Formulation development of loratadine immediate-release tablets using hot-melt extrusion and 3D printing technology,ARTICLE,2022.0,,,,Manegement,
M Alyahya,25,HTML,Journal of drug delivery Â,"Effect of pH modifiers on the solubility, dissolution rate, and stability of telmisartan solid dispersions produced by hot-melt extrusion technology",ARTICLE,2021.0,,,,Manegement,
M Alyahya,15,PDF,Educational Sciences: Theory & Â,"Research culture among higher education institutions of Saudi Arabia and its impact on faculty performance: assessing the role of instrumentality, researchÂ Â",ARTICLE,2022.0,,,,Manegement,
K Mili,0,HTML,Computers in Human Behavior Â,Testing the co-integration relationship between auto insurance premiums and risk compensation amount,HTML,2024.0,,,,Quantitative Method Department,
K Mili,14,PDF,Procedia-Social and Behavioral Sciences,Six Sigma approach for the straddle carrier routing problem,ARTICLE,2014.0,,,,Quantitative Method Department,
K Mili,9,PDF,International Journal of Econometrics and Â,Optimizing the operational process at container terminal,PDF,2015.0,,,,Quantitative Method Department,
K Mili,4,PDF,Journal of Maritime Research,Six Sigma approach for the straddle carrier routing problem,ARTICLE,2013.0,,,,Quantitative Method Department,
K Mili,1,,International Journal of Process Management and Â,Solving the straddle carrier routing problem using Six Sigma methodology,ARTICLE,2017.0,,,,Quantitative Method Department,
K Mili,1,PDF,Journal of Investment and Management,New procedure for assigning drivers to work schedules at a container terminal,PDF,2015.0,,,,Quantitative Method Department,
K Mili,2,PDF,Journal of Maritime Research,Multiple straddle carrier routing problem,ARTICLE,2015.0,,,,Quantitative Method Department,
K Mili,1,PDF,Editorial Preface From the Desk of Managing EditorÂ,Genetic procedure for the Single Straddle Carrier Routing Problem,PDF,2012.0,,,,Quantitative Method Department,
K Mili,0,PDF,UNDERSTANDING SIX SIGMA,THE LINK BETWEEN SIX SIGMA AND BUSINESS PERFORMANCE,PDF,,,,,Quantitative Method Department,
MA Ammer,79,PDF,The Quarterly Review of Economics and Â,The COVID-19 pandemic and stock liquidity: Evidence from S&P 500,ARTICLE,2021.0,12.0,15.0,430.0,Finance,
MA Ammer,39,PDF,Electronics,Deep learning algorithm to predict cryptocurrency fluctuation prices: Increasing investment awareness,ARTICLE,2022.0,,,,Finance,
MA Ammer,31,PDF,Sustainability,Board composition and ESG disclosure in Saudi Arabia: The moderating role of corporate governance reforms,ARTICLE,2022.0,,,,Finance,
MA Ammer,15,PDF,Sustainability,Born to be green: antecedents of green entrepreneurship intentions among higher education students,ARTICLE,2023.0,,,,Finance,
MA Ammer,10,PDF,Sustainability,"Unveiling the connection among ESG, earnings management, and financial distress: Insights from an emerging market",ARTICLE,2023.0,,,,Finance,
MA Ammer,33,PDF,Sustainability,Do corporate environmental sustainability practices influence firm value? The role of independent directors: Evidence from Saudi Arabia,ARTICLE,2020.0,,,,Finance,
MA Ammer,35,PDF,International Journal of Financial Â,The impact of environmental sustainability disclosure on stock return of Saudi listed firms: The moderating role of financial constraints,ARTICLE,2021.0,,,,Finance,
MA Ammer,14,PDF,Mathematics,Determinants of investment awareness: A moderating structural equation modeling-based model in the Saudi Arabian Context,ARTICLE,2022.0,,,,Finance,
MA Ammer,54,,Gender in Management: An Â,The role of the gender diversity of audit committees in modelling the quality of management earnings forecasts of initial public offers in Malaysia,ARTICLE,2017.0,,,,Finance,
MA Ammer,12,PDF,Sustainability,An investigation into the determinants of investment awareness: Evidence from the young Saudi generation,ARTICLE,2022.0,,,,Finance,
MA Ammer,40,,International Journal of Managerial Â,"The effect of underwriter's market share, spread and management earnings forecasts bias and accuracy on underpricing of Malaysian IPOs",ARTICLE,2016.0,,,,Finance,
MA Ammer,18,,Journal of Financial Reporting and Â,The effect of disclosure regulation on the bias and accuracy of management earnings forecasts in Malaysian IPO prospectuses,ARTICLE,2017.0,,,,Finance,
MA Ammer,5,PDF,Mathematics,Application of Artificial Intelligence for Better Investment in Human Capital,ARTICLE,2023.0,,,,Finance,
MA Ammer,15,PDF,Jurnal Teknologi,Absolute forecast errors of earnings in Malaysian IPO prospectuses: The impact of ethnic diversity,ARTICLE,2014.0,,,,Finance,
MA Ammer,12,,Accounting and Finance Research,"Corporate governance, ownership structure and stock market liquidity in Saudi Arabia: A conceptual research framework",ARTICLE,2017.0,,,,Finance,
MA Ammer,0,PDF,Cuadernos de Econom?a,Audit Quality and Firm Specific Characteristics impact on Saudi Arabia manufacturing Firms values: Mediating Role of Earning Management,ARTICLE,2024.0,,,,Finance,
MA Ammer,10,PDF,Asian Social Science,Earnings forecasts errors in Malaysian IPO prospectuses: evidence and explanations,ARTICLE,2014.0,,,,Finance,
MA Ammer,7,,International Journal of Islamic and Middle Â,An empirical investigation into the impact of Shari'ah-compliant status and Muslim directorship on the accuracy of IPO management earnings forecasts,ARTICLE,2019.0,,,,Finance,
MA Ammer,0,PDF,Cuadernos de Econom?a,Examining the Accuracy of Management Earnings Forecasts of Initial Public Offerings: Does Family Governance Matter?,ARTICLE,2024.0,,,,Finance,
MA Ammer,0,PDF,,"Unveiling the Connection among ESG, Earnings Management, and Financial Distress: Insights from an Emerging Market. Sustainability 2023, 15, 12348",PDF,2023.0,,,,Finance,
M Alrawad,17,PDF,Cogent Social Â,The influence of artificial intelligence on the AISs efficiency: Moderating effect of the cyber security,ARTICLE,2023.0,24.0,39.0,1751.0,Quantitative Method Department,
M Alrawad,101,HTML,Journal of Retailing and Â,Drivers and impact of big data analytic adoption in the retail industry: A quantitative investigation applying structural equation modeling,HTML,2023.0,,,,Quantitative Method Department,
M Alrawad,46,PDF,International journal of Â,Perception of occupational and environmental risks and hazards among mineworkers: A psychometric paradigm approach,ARTICLE,2022.0,,,,Quantitative Method Department,
M Alrawad,25,HTML,Journal of Open Innovation Â,Examining the influence of trust and perceived risk on customers intention to use NFC mobile payment system,HTML,2023.0,,,,Quantitative Method Department,
M Alrawad,15,PDF,Journal of Retailing and Â,Social commerce and buying intention post COVID-19: Evidence from a hybrid approach based on SEMÂfsQCA,ARTICLE,2024.0,,,,Quantitative Method Department,
M Alrawad,84,PDF,Sustainability,Business sustainability of small and medium enterprises during the COVID-19 pandemic: The role of AIS implementation,ARTICLE,2022.0,,,,Quantitative Method Department,
M Alrawad,69,PDF,Sustainability,Actual use of mobile learning technologies during social distancing circumstances: Case study of King Faisal University students,ARTICLE,2022.0,,,,Quantitative Method Department,
M Alrawad,92,PDF,Electronics,Examining the impact of artificial intelligence and social and computer anxiety in e-learning settings: Students' perceptions at the university level,ARTICLE,2022.0,,,,Quantitative Method Department,
M Alrawad,45,PDF,Electronics,"Investigating the effect of perceived security, perceived trust, and information quality on mobile payment usage through near-field communication (NFC) in SaudiÂ Â",ARTICLE,2022.0,,,,Quantitative Method Department,
M Alrawad,34,PDF,Electronics,Assessing the intention to adopt cloud accounting during COVID-19,ARTICLE,2022.0,,,,Quantitative Method Department,
M Alrawad,15,PDF,International Journal of Â,Environmental transformational leadership and green innovation in the hotel industry: two moderated mediation analyses,ARTICLE,2022.0,,,,Quantitative Method Department,
M Alrawad,32,PDF,Journal of Risk and Â,The role of E-accounting adoption on business performance: the moderating role of COVID-19,ARTICLE,2022.0,,,,Quantitative Method Department,
M Alrawad,30,PDF,Sustainability,Antecedents of big data analytic adoption and impacts on performance: contingent effect,CITATION,2022.0,,,,Quantitative Method Department,
M Alrawad,13,HTML,Journal of Open Â,Enhancing VAT compliance in the retail industry: The role of socio-economic determinants and tax knowledge moderation,HTML,2023.0,,,,Quantitative Method Department,
M Alrawad,0,PDF,Sustainability,Exploring the Success Factors of Smart City Adoption via Structural Equation Modeling,ARTICLE,2023.0,,,,Quantitative Method Department,
M Alrawad,8,PDF,International Journal of Â,The influence of using smart technologies for sustainable development in higher education institutions,ARTICLE,2024.0,,,,Quantitative Method Department,
M Alrawad,8,PDF,Global Business Â,The impact of organizational training operations management on job performance: An empirical study on Jordanian government institutions,ARTICLE,2022.0,,,,Quantitative Method Department,
M Alrawad,2,HTML,Computers in Human Â,The effect of spatial distribution on the composition of the middle social class in the Kingdom of Saudi Arabia: A spatial econometric analysis,HTML,2023.0,,,,Quantitative Method Department,
M Alrawad,24,,International Journal of Â,Executives' perception of political-legal business environment in international projects,ARTICLE,2012.0,,,,Quantitative Method Department,
M Alrawad,1,,Journal of Retailing and Consumer Â,Understanding factors affecting social commerce purchase behavior: A longitudinal perspective,ARTICLE,2024.0,,,,Quantitative Method Department,
M Alrawad,0,PDF,ECONOMICS,The Role of Stress Tests in Enhancing Bank Transparency: A Comparative Study of Islamic and Conventional Banks,ARTICLE,2024.0,,,,Quantitative Method Department,
M Alrawad,0,PDF,researchgate.net,"Journal of Open Innovation: Technology, Market, and Complexity",PDF,,,,,Quantitative Method Department,
M Alrawad,0,PDF,researchgate.net,Emerald Article: Executives' perception of political-legal business environment in international projects,PDF,,,,,Quantitative Method Department,
M Alrawad,0,PDF,researchgate.net,"Journal of Open Innovation: Technology, Market, and Complexity",PDF,,,,,Quantitative Method Department,
M Alrawad,3,PDF,Uncertain Supply Â,"Digital transformation: An empirical analysis of operational efficiency, customer experience, and competitive advantage in Jordanian Islamic banks",ARTICLE,2024.0,,,,Quantitative Method Department,
M Ech-Cherif,62,,2019 2nd international Â,Deep neural network based mobile dermoscopy application for triaging skin cancer detection,ARTICLE,2019.0,6.0,5.0,171.0,Manegement Information Systems,
M Ech-Cherif El Kettani,18,,Rendiconti del Circolo Â,Additive maps preserving operators of inner local spectral radius zero,ARTICLE,2014.0,,,,Manegement Information Systems,
M Ech-Cherif El Kettani,3,PDF,International Journal of Â,BDA-Enabler architecture based on cloud manufacturing: the case of chemical industry,ARTICLE,2022.0,,,,Manegement Information Systems,
M Ech-Cherif El Kettani,11,,Linear and Multilinear Â,Nonlinear commutant preservers,ARTICLE,2018.0,,,,Manegement Information Systems,
M Ech-Cherif El Kettani,6,,Linear and Multilinear Â,Nonlinear maps preserving the local spectral subspace,ARTICLE,2019.0,,,,Manegement Information Systems,
AA Aljughaiman,22,HTML,International review of Â,"The Covid-19 outbreak, corporate financial distress and earnings management",ARTICLE,2023.0,6.0,5.0,212.0,Finance,
AA Aljughaiman,61,PDF,Journal of Accounting and Public Policy,Do banks effectively manage their risks? The role of risk governance in the MENA region,ARTICLE,2019.0,,,,Finance,
AA Aljughaiman,40,PDF,Cogent Economics & Finance,Does financial technology matter? Evidence from an alternative banking system,ARTICLE,2021.0,,,,Finance,
AA Aljughaiman,55,PDF,Asian Pacific Journal Â,"Colon cancer among older Saudis: Awareness of risk factors and early signs, and perceived barriers to screening",ARTICLE,2016.0,,,,Finance,
AA Aljughaiman,47,HTML,International Review of Financial Â,"Fetching better deals from creditors: Board busyness, agency relationships and the bank cost of debt",HTML,2020.0,,,,Finance,
AA Aljughaiman,5,PDF,Sustainability,Exploring the interplay between sustainability and debt costs in an emerging market: does financial distress matter?,ARTICLE,2023.0,,,,Finance,
AA Aljughaiman,6,PDF,Sustainability,Corporate sustainability and financial performance: The moderating effect of CEO characteristics,ARTICLE,2023.0,,,,Finance,
AA Aljughaiman,10,,Journal of Sustainable Â,The impact of greenhouse gas emission on corporate's tail risk,ARTICLE,2024.0,,,,Finance,
AA Aljughaiman,4,PDF,Cogent Economics & Â,"Cost of equity, debt financing policy, and the role of female directors",ARTICLE,2022.0,,,,Finance,
AA Aljughaiman,0,HTML,Energy Strategy Â,How do inflation rate and energy alternatives influence environmental quality? A BRICS analysis,HTML,2024.0,,,,Finance,
AA Aljughaiman,3,PDF,Sustainability,Do Investor Overconfidence and Loss Aversion Drive Saudi Firm Market Performance? The Moderating Effect of Corporate Governance,ARTICLE,2022.0,,,,Finance,
AA Aljughaiman,0,HTML,Pacific-Basin Finance Â,Does gender diversity affect financial strength differently in conventional and Islamic banks? Evidence from MENA countries,HTML,2023.0,,,,Finance,
AA Aljughaiman,2,PDF,Eurasian Business Â,Twitter carbon information and cost of equity: the moderating role of environmental performance,ARTICLE,2023.0,,,,Finance,
AS Messai,863,PDF,?¢A?A¦ journal of economics and financial issues,Micro and macro determinants of non-performing loans,ARTICLE,2013.0,,,,Finance,
AS Messai,47,PDF,International business ?¢A?A¦,Determinants of bank profitability in Western European Countries evidence from system GMM estimates,PDF,2015.0,,,,Finance,
AS Messai,42,PDF,Asian Social Science,Financial leading indicators of banking distress: A micro prudential approach-Evidence from Europe,PDF,2015.0,,,,Finance,
AS Messai,22,PDF,International Journal of Monetary ?¢A?A¦,Macroeconomic determinants of credit risk: A P-VAR approach evidence from Europe,ARTICLE,2019.0,,,,Finance,
AS Messai,4,PDF,Sustainability,On the Determinants of Bitcoin Returns and Volatility: What We Get from Gets?,ARTICLE,2023.0,,,,Finance,
AS Messai,12,PDF,Journal of Economic & Social Studies ?¢A?A¦,Predicting Banking Distress in European Countries.,PDF,2013.0,,,,Finance,
AS Messai,7,,International Journal of Critical ?¢A?A¦,Corporate social responsibility and the corporate financial performance: the moderator role of firm size,ARTICLE,2020.0,,,,Finance,
